time_steps,win_rate,episode_rewards
0,0.0,0.0
5015,0.0,0.0
10032,0.0,3.243150684931507
15004,0.0,2.8065068493150673
20006,0.1875,9.261986301369863
25004,0.4375,12.690068493150685
30018,0.4375,12.784246575342468
35018,0.4375,12.809931506849315
40011,0.6875,16.018835616438352
45023,0.5625,14.167808219178081
50001,0.53125,14.053082191780822
55018,0.71875,16.491438356164384
60022,0.25,10.554794520547942
65005,0.3125,11.436643835616438
70020,0.4375,12.945205479452053
75007,0.625,15.176369863013699
80008,0.5,13.48458904109589
85005,0.25,9.731164383561646
90022,0.90625,18.85445205479452
95005,0.40625,12.267123287671232
100004,0.625,15.261986301369863
105016,0.59375,14.979452054794521
110003,0.5,13.763698630136984
115012,0.6875,16.001712328767123
120000,0.46875,13.034246575342465
125021,0.40625,12.595890410958901
130008,0.90625,18.88527397260274
135008,0.90625,18.801369863013697
140017,0.9375,19.198630136986303
145011,0.875,18.434931506849317
150002,0.6875,15.96917808219178
155022,0.875,18.458904109589042
160020,0.96875,19.63527397260274
165002,0.9375,19.21917808219178
170007,1.0,20.0
175010,0.9375,19.126712328767123
180014,0.90625,18.79109589041096
185023,1.0,20.0
190008,0.96875,19.60445205479452
195015,0.84375,18.11472602739726
200022,1.0,20.0
