training_step,avg_loss
100,0.05474585007876158
200,0.035737261306494475
300,0.044402830190956595
400,0.03488687571138144
500,0.04192187955603004
600,0.035250541120767594
700,0.04387100724503398
800,0.037272849008440974
900,0.05099278099834919
1000,0.04563095293939114
1100,0.057293507419526574
1200,0.052890406474471095
1300,0.0612049625441432
1400,0.06090074211359024
1500,0.0690671768784523
1600,0.07038818333297968
1700,0.08196645084768533
1800,0.110067696608603
1900,0.11290656130760908
2000,0.12142956938594579
2100,0.15296608798205852
2200,0.15680351231247186
2300,0.22937002748250962
2400,0.2521311663836241
2500,0.2633418048173189
2600,0.26480368062853815
2700,0.2901295191049576
2800,0.26088675156235697
2900,0.2958913065493107
3000,0.30967807173728945
3100,0.3618528743088245
3200,0.32494839139282705
3300,0.3889512783288956
3400,0.3513085287809372
3500,0.3970747831463814
3600,0.399123607724905
3700,0.4706358850002289
3800,0.4522435215115547
3900,0.5170582339167595
4000,0.5036626881361008
4100,0.5625649932026863
4200,0.5467348626255989
4300,0.605907419025898
4400,0.6120243757963181
4500,0.6552569681406021
4600,0.6076377204060555
4700,0.6885994365811348
4800,0.7218836337327957
4900,0.7578324070572853
5000,0.7171605297923088
5100,0.7575560438632966
5200,0.7623411807417869
5300,0.8576078081130981
5400,0.8879492002725601
5500,0.9876793497800826
5600,0.9871002870798111
5700,1.0115393555164338
5800,0.9903099143505096
5900,1.1041767126321793
6000,1.1125063443183898
6100,1.1065065205097198
6200,1.0571624392271042
6300,1.039276389479637
6400,1.0477059710025787
6500,1.031134197115898
6600,0.9805931347608566
6700,0.9943279039859771
6800,0.9721378910541535
6900,0.9403347611427307
7000,0.9378910213708878
7100,0.9476312053203583
7200,0.8903803360462189
7300,0.9608099085092544
7400,0.9261363291740418
7500,0.9570631951093673
7600,0.9570682346820831
7700,0.9986414754390717
7800,0.9789664614200592
7900,1.0434662860631942
8000,1.0335956931114196
8100,1.0336291652917862
8200,0.9916401755809784
8300,1.0270958280563354
8400,0.9723782318830491
8500,0.9970641922950745
